NumTracks,Name,Author,Composer,TimeSecs,TimeFormat,Hardware,Size,File
,,,,,,,2661,../atariwebplayer/music/sndh_lf/Callet_Charles/Championship_Water_Skiing.sndh
,,,,,,,8538,../atariwebplayer/music/sndh_lf/Callet_Charles/La_Affaire.sndh
3,Advantage Tennis,Charles Callet,Charles Callet,0,03 00:00,Ysa,90421,../atariwebplayer/music/sndh_lf/Callet_Charles/Advantage_Tennis.sndh
,,,,,,,6729,../atariwebplayer/music/sndh_lf/Callet_Charles/The_Toyottes.sndh
,,,,,,,2827,../atariwebplayer/music/sndh_lf/Callet_Charles/Hostages.sndh
,,,,,,,87341,../atariwebplayer/music/sndh_lf/Callet_Charles/Metal_Masters.sndh
,,,,,,,10749,../atariwebplayer/music/sndh_lf/Callet_Charles/Bobo.sndh
,,,,,,,3159,../atariwebplayer/music/sndh_lf/Callet_Charles/Bob_Morane_Jungle.sndh
,,,,,,,7589,../atariwebplayer/music/sndh_lf/Callet_Charles/TNT.sndh
,,,,,,,2812,../atariwebplayer/music/sndh_lf/Callet_Charles/Final_Assault.sndh
,,,,,,,3025,../atariwebplayer/music/sndh_lf/Callet_Charles/Turlogh_Le_Rodeur.sndh
2,Pick N Pile,Charles Callet,Charles Callet,0,02 00:00,Ysa,54886,../atariwebplayer/music/sndh_lf/Callet_Charles/Pick_N_Pile.sndh
,,,,,,,7282,../atariwebplayer/music/sndh_lf/Callet_Charles/Passengers_in_the_Wind.sndh
,,,,,,,3581,../atariwebplayer/music/sndh_lf/Callet_Charles/Iznogoud.sndh
,,,,,,,2121,../atariwebplayer/music/sndh_lf/Callet_Charles/Meurt_en_Serie.sndh
,,,,,,,3274,../atariwebplayer/music/sndh_lf/Callet_Charles/Bob_Morane_Sci_Fi.sndh
,,,,,,,3252,../atariwebplayer/music/sndh_lf/Callet_Charles/Prohibition.sndh
,,,,,,,2551,../atariwebplayer/music/sndh_lf/Callet_Charles/La_Marque_Jaune.sndh
,,,,,,,12168,../atariwebplayer/music/sndh_lf/Callet_Charles/Passengers_in_the_Wind_2.sndh
,,,,,,,2944,../atariwebplayer/music/sndh_lf/Callet_Charles/Murders_in_Venice.sndh
,,,,,,,3756,../atariwebplayer/music/sndh_lf/Callet_Charles/Sidewalk.sndh
,,,,,,,4308,../atariwebplayer/music/sndh_lf/Callet_Charles/Bob_Morane_Chevalerie.sndh
,,,,,,,2539,../atariwebplayer/music/sndh_lf/Callet_Charles/Les_Ripoux.sndh
1,Cagney & Lacey Theme - B.Conti,Paul Schuh,Paul Schuh,0,01 00:00,Ysa,5984,../atariwebplayer/music/sndh_lf/Schuh_Paul/Cagney_and_Lacey.sndh
,,,,,,,1790,../atariwebplayer/music/sndh_lf/Young_Iain/Hop.sndh
1,LTK Music Disk,LTK,LTK,0,01 00:00,Ysa,52983,../atariwebplayer/music/sndh_lf/LTK/LTK_Music_Disk.sndh
1,Mage Mix - Phaleon / Mystic,LTK,LTK,0,01 00:00,Ysa,2999,../atariwebplayer/music/sndh_lf/LTK/Phaelon-Mage_Mix_(Mystic).sndh
1,PS Harm,LTK,LTK,0,01 00:00,Ysa,5460,../atariwebplayer/music/sndh_lf/LTK/PS_Harm.sndh
,,,,,,,34916,../atariwebplayer/music/sndh_lf/LTK/Phaleon_Fullball.sndh
1,Complete,LTK,LTK,0,01 00:00,Ysa,4513,../atariwebplayer/music/sndh_lf/LTK/Complete.sndh
1,Env Try,LTK,LTK,0,01 00:00,Ysa,4072,../atariwebplayer/music/sndh_lf/LTK/Env_Try.sndh
,,,,,,,1715,../atariwebplayer/music/sndh_lf/Grease_Monkey/Cheqular.sndh
1,Stax 1,Stax,Stax,0,01 00:00,Ysa,4150,../atariwebplayer/music/sndh_lf/Stax/Stax_1.sndh
1,Simple,Stax,Stax,0,01 00:00,Ysa,3951,../atariwebplayer/music/sndh_lf/Stax/Simple.sndh
1,New Happy Wave,Stax,Stax,0,01 00:00,Ysa,4421,../atariwebplayer/music/sndh_lf/Stax/New_Happy_Wave.sndh
1,X Large,Stax,Stax,0,01 00:00,Ysa,3782,../atariwebplayer/music/sndh_lf/Stax/X_Large.sndh
1,Revotus - Digi,Stax,Stax,0,01 00:00,Ysa,7730,../atariwebplayer/music/sndh_lf/Stax/Revotus_digi.sndh
1,Revotus - Chip,Stax,Stax,0,01 00:00,Ysa,6302,../atariwebplayer/music/sndh_lf/Stax/Revotus.sndh
1,X Large 2,Stax,Stax,0,01 00:00,Ysa,3895,../atariwebplayer/music/sndh_lf/Stax/X_Large_2.sndh
1,Soba,Stax,Stax,0,01 00:00,Ysa,4107,../atariwebplayer/music/sndh_lf/Stax/Soba.sndh
1,Es Geht! Oder,Stax,Stax,0,01 00:00,Ysa,4522,../atariwebplayer/music/sndh_lf/Stax/Es_Geht_Oder.sndh
